Category,ID,Name,Rare,Attack,Defence,Heal,Buy,Rate,Sale,Text
WEAPON,101,木の剣,1,3,,,2000,0.7,1400,
WEAPON,102,鉄の剣,3,5,,,20000,0.7,14000,
WEAPON,103,鋼鉄の剣,4,25,,,200000,0.7,140000,
WEAPON,104,ダイヤモンドソード,8,50,,,27000,0.7,18900,
WEAPON,105,オークの槍,4,12,,,4500,0.7,3150,
WEAPON,106,,,,,,,0.7,0,
WEAPON,107,,,,,,,0.7,0,
WEAPON,108,,,,,,,0.7,0,
WEAPON,109,,,,,,,0.7,0,
WEAPON,110,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
AROMOUR,201,革の鎧,2,,5,,1000,0.7,700,
AROMOUR,202,鉄の鎧,,,,,,0.7,0,
AROMOUR,203,鋼鉄の鎧,,,,,,0.7,0,
AROMOUR,204,,,,,,,0.7,0,
AROMOUR,205,,,,,,,0.7,0,
AROMOUR,206,,,,,,,0.7,0,
AROMOUR,207,,,,,,,0.7,0,
AROMOUR,208,,,,,,,0.7,0,
AROMOUR,209,,,,,,,0.7,0,
AROMOUR,210,,,,,,,0.7,0,
,,,,,,,,,0,
,,,,,,,,,0,
FOOD,301,リンゴ,1,,,15,100,0.1,10,
FOOD,302,,,,,,,0.1,0,
FOOD,303,,,,,,,0.1,0,
FOOD,304,,,,,,,0.1,0,
FOOD,305,,,,,,,0.1,0,
FOOD,306,,,,,,,0.1,0,
FOOD,307,,,,,,,0.1,0,
FOOD,308,,,,,,,0.1,0,
FOOD,309,,,,,,,0.1,0,
FOOD,310,,,,,,,0.1,0,
,,,,,,,,,0,
,,,,,,,,,0,
GOODS,401,帰還の石,1,,,,4500,0.1,450,
GOODS,402,,,,,,,0.1,0,
GOODS,403,,,,,,,0.1,0,
GOODS,404,,,,,,,0.1,0,
GOODS,405,,,,,,,0.1,0,
GOODS,406,,,,,,,0.1,0,
GOODS,407,,,,,,,0.1,0,
GOODS,408,,,,,,,0.1,0,
GOODS,409,,,,,,,0.1,0,
GOODS,410,,,,,,,0.1,0,
,,,,,,,,,0,
,,,,,,,,,0,
TREASURE,1001,プルルンゼリー,,,,,15,1,15,
TREASURE,1002,セイレーンの涙,,,,,10000000,1,10000000,
TREASURE,1003,八尺瓊勾玉,,,,,5000,1,5000,
TREASURE,1004,中臣鎌足,,,,,12,1,12,
TREASURE,1005,生ごみの塊,,,,,-100,1,-100,
TREASURE,1006,徳川埋蔵金,,,,,100000,1,100000,
TREASURE,1007,,,,,,,1,0,
TREASURE,1008,,,,,,,1,0,
TREASURE,1009,,,,,,,1,0,
TREASURE,1010,,,,,,,1,0,
,,,,,,,,,0,
